Název programu;Název oboru;Jazyk výuky;Alias
Učitelství pro základní školy;Učitelství výtvarné výchovy pro 2. stupeň základních škol;Česky;['NŠ-VV-C, Tělesná výchova pro 1. stupeň ZŠ', 'VV-D/ZŠ', 'VVn-OVn', 'ŠJ-VV/ZŠ', 'ČJ-VV/ZŠ', 'ČJn-VVn', 'VVn-OVan', 'ČJ-VV/ZŠ společný základ', 'VV-OV/ZŠ, společný základ', 'VKZn-VVn', 'VV-OV/ZŠ', 'NŠ-VV-C']
Učitelství pro základní školy;Učitelství výtvarné výchovy pro základní umělecké školy;Česky;['Učitelství výtvarné výchovy pro základní umělecké školy', 'ZUŠ (VV)']
Učitelství pro základní školy;Učitelství zeměpisu pro 2. stupeň základních škol;Česky;['Z-FJ/ZŠ', 'Mn-Zn', 'ŠJ-Z/ZŠ', 'Zn-Přn', 'Zn-AJn', 'Zn-TVZn', 'M-Z/ZŠ', 'Z-Př/ZŠ', 'D-Z/ZŠ', 'Z-TV/ZŠ', 'Zn-TVn', 'Z-AJ/ZŠ', 'Zn-OVn', 'Zn-OVan', 'TV-Z/ZŠ', 'Dn-Zn', 'NJn-Zn', 'Učitelství tělesné výchovy pro 2. stupeň ZŠ, Učitelství zeměpisu pro 2. stupeň ZŠ, společný základ', 'Učitelství matematiky pro 2. stupeň ZŠ, Učitelství zeměpisu pro 2. stupeň ZŠ, společný základ', 'Z-OV/ZŠ']
Učitelství pro základní školy;Učitelství anglického jazyka pro 2. stupeň základních škol;Česky;['AJ-FJ/ZŠ', 'Zn-AJn', 'AJn-OVan', 'ČJn-AJn', 'AJn-Přn', 'ČJ-AJ/ZŠ', 'AJn-ŠJn', 'Mn-AJn', 'AJ-ŠJ/ZŠ', 'VKZn-AJn', 'Z-AJ/ZŠ', 'AJ-HV/ZŠ', 'TchVn-AJn', 'AJn-OVn', 'HVan-AJn', 'AJ-NJ/ZŠ', 'AJn-FJn', 'AJn-NJn', 'AJn-Dn', 'AJ-D/ZŠ']
Učitelství pro základní školy;Učitelství českého jazyka a literatury pro 2. stupeň základních škol;Česky;['ČJn-ŠJn', 'ČJ-HV/ZŠ', 'Přn-ČJn', 'ČJ-ŠJ/ZŠ', 'ČJn-OVan', 'ČJ-VV/ZŠ', 'HVan-ČJn', 'ČJn-AJn', 'ČJn-NJn', 'Mn-ČJn', 'ČJn-OVn', 'ČJ-OV/ZŠ', 'ČJn-VVn', 'ČJ-AJ/ZŠ', 'ČJ-VV/ZŠ společný základ', 'ČJ-FJ/ZŠ', 'ČJn-In']
Učitelství pro základní školy;Učitelství dějepisu pro 2. stupeň základních škol;Česky;['VV-D/ZŠ', 'Mn-Dn', 'D-Z/ZŠ', 'TchVn-Dn', 'Dn-Zn', 'AJn-Dn', 'AJ-D/ZŠ']
Učitelství pro základní školy;Učitelství francouzského jazyka pro 2. stupeň základních škol;Česky;['Z-FJ/ZŠ', 'FJ-OV/ZŠ', 'AJ-FJ/ZŠ', 'FJ-NJ/ZŠ', 'ŠJ-FJ/ZŠ', 'AJn-FJn', 'FJ-TV/ZŠ', 'ČJ-FJ/ZŠ']
Učitelství pro základní školy;Učitelství fyziky pro 2. stupeň základních škol;Česky;Učitelství fyziky pro 2. stupeň základních škol
Učitelství pro základní školy;Učitelství fyziky pro 2. stupeň základních škol;Česky;Učitelství fyziky pro 2. stupeň základních škol
Učitelství pro základní školy;Učitelství hudební výchovy pro 2. stupeň základních škol;Česky;['NJn-HVan', 'ČJ-HV/ZŠ', 'NJ-HV/ZŠ', 'HVan-ČJn', 'HVan-Chn', 'HVan-Mn', 'NŠ-HV-C', 'NJn-HVn', 'AJ-HV/ZŠ', 'HVan-AJn', 'HVan-Přn', 'HVan-Man', 'NŠ-HV-C, Filosofie pro děti']
Učitelství pro základní školy;Učitelství chemie pro 2. stupeň základních škol;Česky;['Př-Ch/ZŠ', 'Mn-Chn', 'HVan-Chn', 'F-VTE/ZŠ, F-Ch/ZŠ', 'Fyn-Chn', 'Přn-Chn']
Učitelství pro základní školy;Učitelství matematiky pro 2. stupeň základních škol;Česky;['M-VT/ZŠ, Učitelství matematiky pro 2. stupeň ZŠ, společný základ', 'Učitelství matematiky pro 2. stupeň ZŠ, Učitelství zeměpisu pro 2. stupeň ZŠ, společný základ', 'M-OV/ZŠ, Učitelství matematiky pro 2. stupeň ZŠ, společný základ', 'M-Př/ZŠ', 'Mn-Fyn', 'Mn-Zn', 'M-Z/ZŠ', 'Mn-NJn', 'Mn-TVZn', 'Mn-Chn', 'HVan-Mn', 'Mn-Inn', 'Mn-ČJn', 'Mn-Dn', 'M-OV/ZŠ', 'M-VT/ZŠ', 'M-TVT/ZŠ', 'M-TV/ZŠ', 'Mn-VKZn', 'Mn-AJn', 'Mn-TVn', 'Mn-OVn', 'M-F/ZŠ', 'Mn-OVan', 'Mn-TchVn', 'Mn-Přn', 'HVan-Man']
