code,isPartOf,isPartOf2,institution,address,url,library-url
upce,public_uni,edu,"Univerzita Pardubice","Studentská 519, 532 10 Pardubice","http://www.upce.cz/","http://www.upce.cz/knihovna/index.html"
urad_prumysloveho_vlastnictvi,null,gov,"Úřad průmyslového vlastnictví","Antonína Čermáka 2a, 160 68 Praha 6","http://upv.cz/","http://upv.cz/cs/sluzby-uradu/informacni-sluzby.html"
ustav_analyticke_chemie,avcr,research,"Ústav analytické chemie","Veveří 97, 602 00 Brno","http://www.iach.cz/","http://www.iach.cz/uiach/cz/knihovna.htm"
ustav_anorganicke_chemie,avcr,research,"Ústav anorganické chemie","Husinec-Řež č.p. 1001, 250 68 Řež","http://www.iic.cas.cz/","http://www.iic.cas.cz/cz/pro_verejnost_knihovna"
ustav_archeologicke_pamatkove_pece_severozapadnich_cech,vvi,research,"Ústav archeologické památkové péče severozápadních Čech, v.v.i.","Jana Žižky 835, Most 434 01 ","http://www.uappmost.cz/wp/",""
ustav_biologie_obratlovcu,avcr,research,"Ústav biologie obratlovců","Květná 8, 603 65 Brno","http://www.ivb.cz","https://www.ivb.cz/ustav/knihovna/"
ustav_dejin_umeni,avcr,research,"Ústav dějin umění","Husova 4, 110 00 Praha 1","http://www.udu.cas.cz/","http://www.udu.cas.cz/cs/knihovna/"
ustav_experimentalni_botaniky,avcr,research,"Ústav experimentální botaniky","Rozvojová 263, 165 02 Praha 6-Lysolaje","http://www.ueb.cas.cz/","http://www.ueb.cas.cz/cs/content/it-knihovna-svi"
ustav_experimentalni_mediciny,avcr,research,"Ústav experimentální medicíny","Vídeňská 1083, 142 20 Praha 4","http://www.iem.cas.cz/",""
ustav_fotoniky_a_elektroniky,avcr,research,"Ústav fotoniky a elektroniky","Chaberská 57, 182 51 Praha 8","http://www.ufe.cz/","http://www.ufe.cz/cs/knihovna"
ustav_fyzikalni_chemie_j_heyrovskeho,avcr,research,"Ústav fyzikální chemie J. Heyrovského","Dolejškova 3 ,  182 23 Praha 8","http://www.jh-inst.cas.cz/","http://www.jh-inst.cas.cz/www/detail.php?p=88"
ustav_fyziky_atmosfery,avcr,research,"Ústav fyziky atmosféry","Boční II/1401, 141 31 Praha 4","http://www.ufa.cas.cz/","http://www.ufa.cas.cz/knihovna/o-knihovne.html"
ustav_fyziky_materialu,avcr,research,"Ústav fyziky materiálů","Žižkova 22, 616 62 Brno","http://www.ipm.cz/",""
ustav_fyziky_plazmatu,avcr,research,"Ústav fyziky plazmatu","Za Slovankou 3, 182 00 Praha 8","http://www.ipp.cas.cz/",""
